conversation_id,subject,true_rating,predicted_rating,final_confidence,absolute_error,conversation_length,terminated_reason,duration_seconds,confidence_trajectory
e80a834f-82c6-4047-b785-523cfee63381,python_programming,7.25,5.0,0.5,2.25,4,confidence_threshold,0.021286,"[0.2, 0.31, 0.78, 0.8]"
ddb34340-542b-46f0-bbd4-a02a63271c29,python_programming,0.0,5.0,0.5,5.0,5,max_exchanges,0.028346,"[0.2, 0.75, 0.77, 0.36, 0.4]"
a207b457-5323-4dce-823b-a22fa638a78d,python_programming,3.010057429308939,5.0,0.5,1.9899425706910612,5,max_exchanges,0.026967,"[0.2, 0.37, 0.64, 0.35, 0.67]"
26e306fd-d753-48f8-9eae-b51ae21f80d1,python_programming,0.021832402226590553,5.0,0.5,4.9781675977734094,5,max_exchanges,0.029438,"[0.2, 0.32, 0.4, 0.47, 0.62]"
0dd731f2-25dc-4b7f-9e49-5bf5e5ddf3d8,web_development,3.6871632754695343,5.0,0.5,1.3128367245304657,5,max_exchanges,0.024848,"[0.2, 0.72, 0.51, 0.61, 0.67]"
d0bcff83-328d-49d0-83ae-d48c1667afaa,python_programming,2.75,5.0,0.5,2.25,5,max_exchanges,0.023943,"[0.2, 0.3, 0.31, 0.35, 0.54]"
ef2f887e-4e09-455a-ab40-8b0380343680,python_programming,5.0,5.0,0.5,0.0,5,max_exchanges,0.025083,"[0.2, 0.76, 0.66, 0.3, 0.48]"
2de6792a-4ebf-4301-aa32-2a31cdbb45b2,python_programming,0.8160350119764254,5.0,0.5,4.1839649880235745,5,max_exchanges,0.026086,"[0.2, 0.65, 0.32, 0.67, 0.36]"
8a52ce60-96d2-4e9f-b69d-deb202863d17,python_programming,4.010380462365289,5.0,0.5,0.9896195376347112,3,confidence_threshold,0.015999,"[0.2, 0.34, 0.8]"
f06ff3b3-f161-493d-bc7f-3d3611e97c07,python_programming,0.5718746495655536,5.0,0.5,4.428125350434446,5,max_exchanges,0.025001,"[0.2, 0.5, 0.4, 0.58, 0.33]"
2bf7717c-0375-4f9c-b963-9d173b4bc611,machine_learning,0.5,5.0,0.5,4.5,5,max_exchanges,0.024994,"[0.2, 0.47, 0.42, 0.34, 0.71]"
7b07162d-3fd6-42c5-b22f-f1252c35b493,python_programming,0.5,5.0,0.5,4.5,5,max_exchanges,0.025008,"[0.2, 0.44, 0.32, 0.35, 0.45]"
e39d8dc2-3d4e-45b6-99f2-6213d9435f6c,python_programming,4.185129871050861,5.0,0.5,0.8148701289491393,5,max_exchanges,0.024665,"[0.2, 0.65, 0.47, 0.41, 0.67]"
c317a9dd-2900-454d-a73f-adda33648573,python_programming,1.9309505695710927,5.0,0.5,3.0690494304289073,5,max_exchanges,0.024558,"[0.2, 0.74, 0.7, 0.38, 0.51]"
3b992f3c-8e69-4d30-9bb4-977491eee142,data_science,6.431127700800055,5.0,0.5,1.4311277008000554,5,max_exchanges,0.025063,"[0.2, 0.42, 0.49, 0.43, 0.62]"
6ff99937-8e77-4726-b923-a664f4ede0f9,python_programming,9.5,5.0,0.5,4.5,5,max_exchanges,0.025063,"[0.2, 0.73, 0.76, 0.63, 0.58]"
b8dd99e7-fbf8-4cc1-ba73-68c13a6256c8,machine_learning,6.521585520114112,5.0,0.5,1.5215855201141117,5,max_exchanges,0.01609,"[0.2, 0.47, 0.4, 0.36, 0.66]"
cb649e3c-5e1e-4063-b029-b6d036fe1b12,python_programming,1.9568912698017589,5.0,0.5,3.043108730198241,5,max_exchanges,0.012013,"[0.2, 0.69, 0.43, 0.61, 0.51]"
